input,output,input_processed,is_divorce,law_topic,topic_name,topic_probability,announce_date,law_intent,intent_label
부정행위로 인한 정신적 손해배상의 청구에서 손해액을 결정하는 기준은 무엇인가요?,"부정행위로 인한 정신적 손해배상의 손해액 결정 기준은 피해자가 입은 정신적 고통의 정도, 부정행위가 부부공동생활에 미친 악영향, 부정행위의 경위 및 정도 등을 종합적으로 고려하여 평가해야 합니다. 즉, 관련법리에 따르면 부정행위로 인해 입은 전체 정신적 손해액 중 공동불법행위자 중 1인의 책임 부분을 규명한 후 그에 해당하는 손해배상액을 적정하게 산정해야 합니다.",부정행위 정신 손해배상 청구 손해 결정 기준,1,2,위자료 및 손해배상 청구,0.48378563,2023-01-31T09:00:00.000+09:00,금액·산정,3
재산분할 시 고려해야 할 요소들은 무엇인지 설명해주세요.,"재산분할 시 고려해야 할 요소는 민법 제839조의2에 명시되어 있으며, 부부의 각자의 재산 상황, 혼인 기간, 혼인 동안의 기여도, 소득 및 생활 유지 능력 등을 포함합니다. 특히, 한쪽 배우자가 가사 및 자녀 양육에 기여한 정도도 중요하게 평가되며, 이러한 요소들은 재산분할의 비율을 결정하는 데 있어서 중요한 기준이 됩니다.",재산 분할 고려 요소 해주다,1,0,이혼 시 금전 문제 (재산분할·양육비),0.55597985,2016-04-08T09:00:00.000+09:00,가능 여부 판단,0
"부정행위로 인한 정신적 손해를 금전적으로 보상받을 수 있는 경우, 그 위자료는 어떻게 산정되나요?","부정행위로 인한 정신적 손해를 금전으로 보상받기 위한 위자료는 혼인 기간, 미성년 자녀의 존재, 부정행위의 내용과 기간, 혼인 관계에 미친 영향, 부정행위가 발각된 이후의 상황 등 여러 사정을 종합적으로 고려하여 산정됩니다. 예를 들어, 한 사건에서는 위자료의 액수가 15,000,000원으로 정해졌습니다.",부정행위 정신 손해 금전 보상 받다 위자료 산정,1,2,위자료 및 손해배상 청구,0.48577586,2020-11-18T09:00:00.000+09:00,가능 여부 판단,0
부정행위로 인한 정신적 고통에 대한 손해배상 책임의 인정 기준은 무엇인가요?,"부정행위로 인해 정신적 고통을 입은 경우, 원칙적으로 불법행위가 성립합니다. 이는 제760조에 의거하여 제3자가 부부 중 한 쪽의 부정행위로 인해 부부공동생활을 침해하거나 그 유지를 방해하여 정신적 고통을 초래한 경우에 해당합니다. 이러한 경우, 피해자는 고통에 대한 손해배상을 청구할 수 있으며, 그 액수는 피해자의 상황, 부정행위의 기간 및 정도, 그리고 피해자의 정신적 상태를 종합적으로 고려하여 결정됩니다.",부정행위 정신 고통 손해배상 책임 기준,1,1,부정행위 및 제3자 개입 책임,0.53547335,2019-07-24T09:00:00.000+09:00,가능 여부 판단,0
채무가 많을 때 재산분할은 어떻게 하나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
시효가 완성되면 소송을 제기해도 소용없나요?,,,,3,부정행위의 법률적 근거,,,기간·시효,4
"피해자가 부정행위로 인한 손해배상을 청구할 때, 인정해야 할 정신적 고통의 범위는 어떻게 될까요?","부정행위로 인한 손해배상청구에서 피해자가 인정받을 수 있는 정신적 고통의 범위는, 혼인의 본질인 부부 공동생활의 침해와 유지의 방해에 대한 정신적 고통을 포함합니다. 대법원 판례에 의하면, 부정행위의 정도와 정황을 고려하여 피해자의 정신적 고통을 평가하며, 이를 통해 손해배상을 산정할 수 있는 법적 근거가 됩니다.",피해자 부정행위 손해배상 청구 정신 고통 범위,1,2,위자료 및 손해배상 청구,0.9242201,2019-10-01T09:00:00.000+09:00,가능 여부 판단,0
이혼 시 자녀 수에 따라 양육비가 달라지나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
이혼 확정 후 서류 처리 절차가 궁금해요.,,,,3,부정행위의 법률적 근거,,,절차·방법,1
"제3자가 부부의 일방과 부정행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하는 경우, 어떤 책임을 질 수 있나요?",제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고 그에 대한 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성합니다. 이로 인해 발생한 정신적 고통에 대해 금전적인 손해배상을 책임져야 합니다.,부부 일방 부정행위 혼인 본질 해당 생활 침해 책임 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9290953,2018-01-12T09:00:00.000+09:00,법적 근거·조문,6
단순한 연락이나 애정 표현도 법적으로 부정행위로 보나요?,,,,3,부정행위의 법률적 근거,,,기타,-1
가정폭력 피해자는 보호명령을 신청할 수 있나요?,,,,3,부정행위의 법률적 근거,,,제재·구제수단,5
장기간 연락이 끊긴 경우 법적으로 이혼이 가능할까요?,,,,3,부정행위의 법률적 근거,,,가능 여부 판단,0
양육비 체납으로 구속될 수도 있나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,제재·구제수단,5
부정한 행위의 인정 기준은 무엇인가요?,"부정한 행위는 배우자로서의 정조의무를 위반하는 모든 행위를 포함하며, 개별 사례에 따라 행위의 정도와 상황을 반영하여 평가되어야 합니다. 이와 관련하여 대법원은 부정한 행위의 범위가 간통보다 넓다고 보았으며, 따라서 특정 상황의 구체적 요소를 검토하여 결론에 도달합니다.",부정 행위 기준,1,3,부정행위의 법률적 근거,0.40978462,2018-06-21T09:00:00.000+09:00,가능 여부 판단,0
부정행위로 인한 정신적 고통의 손해배상 책임에서 입증해야 할 사항은 무엇인가요?,"부정행위로 인한 정신적 고통에 대한 손해배상 책임을 인정받기 위해서는 피해자가 부정행위로 인해 실제로 정신적 고통을 경험했음을 입증해야 합니다. 이는 대법원 2014. 11. 20. 선고한 2011므2997 판결에 근거하여, 부정행위의 존재, 그로 인한 정신적 고통의 구체적인 내용, 그리고 피해자로서의 피해의 정도를 증명해야 한다는 것을 의미합니다.",부정행위 정신 고통 손해배상 책임 입증 사항,1,2,위자료 및 손해배상 청구,0.73259187,2021-01-15T09:00:00.000+09:00,증거·입증,2
혼인의 실질적 요건은 어떻게 구성되나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
상간자로 인한 사실혼 파기 시 제3자에게 손해배상 청구를 할 수 있나요?,"상간자로 인해 사실혼 관계가 파탄난 경우, 사실혼 관계 당사자는 제3자에게 손해배상을 청구할 수 있습니다. 이는 가사소송법 제2조 제1항 제1호 다목 1)의 규정에 따라 가정법원의 전속관할에 속하는 사건으로 처리됩니다. 손해배상청구는 사실혼 관계 파탄의 직접적인 원인을 제공한 특정 제3자를 대상으로 수행됩니다.",자로 사실혼 파기 손해배상 청구 제3자에게,1,2,위자료 및 손해배상 청구,0.52698606,2019-07-25T09:00:00.000+09:00,가능 여부 판단,0
소송 제기 전 시효가 얼마 남았는지 확인할 방법이 있나요?,,,,3,부정행위의 법률적 근거,,,기간·시효,4
"부부 중 한 명이 제3자와 부정행위를 하여 상대 배우자에게 정신적 고통을 줄 경우, 법적으로 어떠한 책임을 지게 되나요?","제3자가 부부의 일방과 부정행위를 함으로써 부부공동생활을 침해하고 상대 배우자의 권리를 침해하여 정신적 고통을 가하는 행위는 불법행위를 구성합니다. 이러한 경우, 제3자는 상대 배우자에게 금전적으로 위자료를 배상할 책임이 있습니다. 이는 대법원 판례 (대법원 2015. 5. 29. 선고 2013다2441 판결, 대법원 2005. 5. 13. 선고 2004다1899 판결 등)에서도 확인된 바 있습니다.",부부 부정행위 상대 배우자 정신 고통 법적 책임 지게 제3자와,1,1,부정행위 및 제3자 개입 책임,0.48669648,2017-08-23T09:00:00.000+09:00,가능 여부 판단,0
이혼 합의서에 명시된 금액을 나중에 바꿀 수 있나요?,,,,3,부정행위의 법률적 근거,,,금액·산정,3
법원과는 별도로 상담만 진행할 수 있나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
재산분할 청구에서 양도양수 계약에 따른 채권의 인정 범위는 어떻게 되나요?,"재산분할 청구에서 양도양수 계약에 따른 채권의 인정 범위는 채권의 특정성이 중요합니다. 대법원 판례에 의하면 양도된 채권은 제3자가 그 채권의 존재와 내용에 대해 알 수 있도록 명확히 특정되어야 하며, 그렇지 않으면 양도는 유효하지 않다고 판시하고 있습니다(대법원 2013. 3. 14. 선고 2011다28946 판결 참조). 즉, 양도된 채권의 종류, 금액 등 구체적인 사항이 불명확할 경우 채권 양도가 인정되지 않을 수 있습니다.",재산 분할 청구 양도 양수 계약 채권 범위,1,0,이혼 시 금전 문제 (재산분할·양육비),0.7623962,2022-04-21T09:00:00.000+09:00,가능 여부 판단,0
"이혼에 있어서 재산분할이 이루어질 때, 고려해야 할 사항들은 무엇인가요?","재산분할은 민법 제839조의2에 따라 부부가 혼인 중에 형성한 실질상의 공동재산을 청산하여 분배하는 것입니다. 이때 분할자의 유책행위로 인한 정신적 손해를 배상하기 위한 요소도 포함될 수 있습니다. 따라서 재산분할의 액수와 방법을 정함에 있어서는 공동재산의 총액, 각 당사자의 기여도, 유책사유 등에 대한 고려가 필요합니다.",이혼 재산 분할 이루어지다 고려 사항,1,0,이혼 시 금전 문제 (재산분할·양육비),0.8991223,2015-04-29T09:00:00.000+09:00,기타,-1
"배우자의 부정행위로 인해 손해배상을 청구할 경우, 부정행위의 기준은 무엇인가요?","배우자의 부정행위는 간통을 포함하여 부부의 정조의무에 충실하지 않는 모든 행위를 의미합니다. 이는 구체적인 사안에 따라 그 정도와 상황을 참작하여 평가되어야 하며, 간통에 이르지 않더라도 부정한 행위로 간주될 수 있습니다.",배우자 부정행위 손해배상 청구 기준,1,2,위자료 및 손해배상 청구,0.7010593,2021-01-27T09:00:00.000+09:00,금액·산정,3
제3자가 부정행위로 인해 손해배상을 해야 하는 조건은 무엇인가요?,"부정행위로 인한 손해배상을 받기 위해서는, 제3자가 배우자 있는 사람임을 알면서 부정한 행위를 하여 부부공동생활을 침해한 경우입니다. 이러한 경우 피해자는 정신적 손해를 입게 된 것으로 인정받아 손해배상 청구를 할 수 있습니다. 관련 판례에 따르면, 부정행위 자체가 배우자의 권리를 침해하는 행위이며, 이로 인해 발생한 정신적 고통에 대해 손해배상을 청구할 수 있습니다.",부정행위 손해배상 제3자가,1,1,부정행위 및 제3자 개입 책임,0.8509767,2020-11-26T09:00:00.000+09:00,제재·구제수단,5
이혼의 자유는 헌법에서 보장되나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
이혼 소송은 어디에 접수해야 하나요?,,,,3,부정행위의 법률적 근거,,,절차·방법,1
익명으로 법률 상담을 신청해도 문제없나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
소멸시효가 중단된 경우 다시 계산은 언제부터 시작되나요?,,,,3,부정행위의 법률적 근거,,,기간·시효,4
재산분할 청구는 판결 확정일부터 계산하나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,기간·시효,4
재산분할 소송 시효를 연장할 수 있나요?,,,,1,위자료 및 손해배상 청구,,,기간·시효,4
제3자가 타인의 부부공동생활에 개입하여 손해배상 책임이 성립되기 위한 조건은 무엇인가요?,"관련법리에 따르면, 제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고, 배우자에게 정신적 고통을 가하는 경우 손해배상 책임이 성립됩니다. 이는 부정행위를 안 상태에서 이루어진 경우에 적용됩니다.",타인 부부 생활 개입 손해배상 책임 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9128038,2021-04-20T09:00:00.000+09:00,가능 여부 판단,0
"부정행위로 인한 정신적 손해배상을 청구하는 경우, 어떠한 조건이 필요하며 관련 법리에는 어떤 것들이 있나요?","제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해하여 배우자에게 정신적 고통을 가한 경우, 이는 원칙적으로 불법행위를 구성합니다. 이는 대법원 판례(2014.11.20. 선고 20112997 전원합의체 판결 등)와 민법 제840조 제1호 소정의 '배우자의 부정한 행위'가 포함된다는 법리에 근거합니다. 부정한 행위 여부는 구체적 사안에 따라 그 정도와 상황을 참작하여 평가해야 합니다(대법원 2013. 11. 28. 선고 20104095 판결 등 참조).",부정행위 정신 손해배상 청구 법리,1,2,위자료 및 손해배상 청구,0.67580813,2017-05-10T09:00:00.000+09:00,제재·구제수단,5
자녀가 둘이면 양육비는 두 배로 계산되나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
이혼 확정 후 주민등록 정정은 어떻게 하나요?,,,,3,부정행위의 법률적 근거,,,절차·방법,1
민법상 이혼과 별거의 차이는?,,,,3,부정행위의 법률적 근거,,,법적 근거·조문,6
"부부의 일방이 부정행위를 한 경우, 상대방 배우자가 손해배상을 청구할 수 있는 근거는 무엇인가요?","민법 제840조에 따르면, 부부의 일방이 부정행위를 한 경우 상대방 배우자는 그 행위로 인한 정신적 고통에 대해 불법행위로 인한 손해배상 책임을 청구할 수 있습니다. 부정행위는 간통 뿐만 아니라 부부의 정조의무에 충실하지 않은 모든 행위를 포함하는 넓은 개념으로 해석됩니다.",부부 일방 부정행위 상대방 배우자 손해배상 청구,1,2,위자료 및 손해배상 청구,0.924215,2018-02-08T09:00:00.000+09:00,가능 여부 판단,0
제3자가 부부의 일방과 부정행위를 했을 때 불법행위가 성립하는 조건은 무엇인가요?,"대법원 판례에 따르면, 제3자가 부부의 일방과 부정행위를 함으로써 부부공동생활을 침해하거나 유지를 방해하고 그에 따라 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성합니다. 여기서 '부정행위'란 간통을 포함한 보다 넓은 개념으로, 부부의 정조의무에 충실하지 않는 일체의 부정한 행위가 포함됩니다. 부정한 행위인지 여부는 구체적 사안에 따라 그 정도와 상황을 참작하여 평가됩니다.",부부 일방 부정행위 불법행위 제3자가,1,1,부정행위 및 제3자 개입 책임,0.88320094,2021-07-09T09:00:00.000+09:00,가능 여부 판단,0
부정행위로 인한 위자료 청구의 법적 근거는 무엇인가요?,"부정행위로 인한 위자료 청구는 민법 제750조에 근거하여 피해자가 입은 정신적 고통에 대해 손해배상을 청구할 수 있도록 규정하고 있습니다. 부정행위는 부부의 정조의무를 위반하는 행위로 간주되며, 대법원 판례에서도 부정행위는 원칙적으로 불법행위를 구성하고, 그로 인해 입은 정신적 고통에 대해 배상할 의무가 있다고 확립하고 있습니다.",부정행위 위자료 청구 법적,1,2,위자료 및 손해배상 청구,0.8915234,2021-05-13T09:00:00.000+09:00,증거·입증,2
외도 사실을 알게 된 후 소송 가능한 기간이 어떻게 되나요?,,,,3,부정행위의 법률적 근거,,,기간·시효,4
"배우자가 있는 사람과 부정행위를 저질렀을 때, 상대 배우자가 청구할 수 있는 손해배상 범위는 어떻게 결정되나요?","손해배상 범위는 부정행위의 경위와 내용, 혼인관계에 미친 영향, 피해자가 입은 정신적 고통의 정도, 불법행위 이후의 정황 등 여러 사정을 종합적으로 고려하여 결정됩니다. 예를 들어, 부정행위의 심각성과 그로 인해 혼인관계에 미친 영향, 피해자가 겪은 정신적 고통 등을 참작하여 배상액을 정하게 됩니다.",배우자 부정행위 저지르다 상대 청구 손해배상 범위 결정,1,2,위자료 및 손해배상 청구,0.78112024,2021-02-18T09:00:00.000+09:00,가능 여부 판단,0
법원이 위자료 청구를 인정하기 위해 고려해야 할 요소는 무엇인가요?,"법원은 위자료 청구를 인정하기 위해 부정행위의 성격과 경위, 피해자의 심리적 고통 정도, 그리고 부부관계의 지속성과 안정성을 종합적으로 고려해야 합니다. 대법원 2014. 11. 20. 선고 20112997 전원합의체 판결에 따르면, 제3자의 부정행위가 배우자에게 정신적 고통을 반영하여 위자료의 지급 의무가 인정됩니다.",법원 위자료 청구 고려 요소,1,2,위자료 및 손해배상 청구,0.89152676,2017-08-25T09:00:00.000+09:00,가능 여부 판단,0
상담 이후 변호사 상담으로 연결할 수 있나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
협의이혼 시 위자료 금액을 조정할 수 있나요?,,,,1,위자료 및 손해배상 청구,,,금액·산정,3
제3자가 부부공동생활을 방해한 경우 어떠한 법적 책임을 지게 되나요?,"제3자가 타인의 부부공동생활에 개입하여 부부공동생활의 파탄을 초래하거나 방해하는 경우, 이는 혼인의 본질에 해당하는 부부공동생활을 침해하는 것으로 원칙적으로 불법행위를 구성합니다. 예를 들어 제3자가 부부의 일방과 부정행위를 하여 배우자에게 정신적 고통을 가하는 행위는 불법행위로 인정되어, 그로 인해 입은 정신적 손해를 배상할 의무가 있습니다.",부부 생활 방해 법적 책임 지게 제3자가,1,1,부정행위 및 제3자 개입 책임,0.48061013,2017-11-24T09:00:00.000+09:00,가능 여부 판단,0
"제3자가 다른 사람의 부부공동생활에 개입하여 문제가 발생했을 때, 어떠한 조건 아래 불법행위로 인정될 수 있나요?","제3자가 다른 사람의 배우자와 부정행위를 하여 그 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하는 경우, 이는 불법행위로 인정될 수 있습니다. 이로 인해 배우자가 정신적인 고통을 받았을 경우, 정신적 손해를 배상해야 할 의무가 발생합니다.",다른 사람 부부 생활 개입 아래 불법행위 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9128256,2020-06-16T09:00:00.000+09:00,가능 여부 판단,0
소득이 없는 배우자도 재산분할을 받을 수 있나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
배우자가 있는 사람과 부정한 관계를 지속적으로 맺은 경우에 불법행위가 성립하는 조건은 무엇인가요?,"부부는 정조의무에 충실해야 하며, 이를 어긴 부정한 행위를 저지르는 것은 상대방 배우자에 대하여 불법행위가 됩니다. 예를 들어, 배우자가 있는 사람과 지속적으로 연락을 하고 만나서 성관계를 가지는 등의 행위는 정조의를 위반하여 불법행위를 구성합니다. 이를 통해 상대방 배우자가 상당한 정신적 고통을 받았음을 경험칙상 인정할 수 있으며, 이에 대해 금전적인 위자료를 지급할 의무가 발생합니다.",배우자 부정 관계 지속 맺다 불법행위,1,1,부정행위 및 제3자 개입 책임,0.5841086,2020-09-23T09:00:00.000+09:00,가능 여부 판단,0
부정행위로 인한 손해배상의 청구 시 법원의 판단 기준은 무엇인가요?,"부정행위로 인한 손해배상의 청구 시 법원의 판단 기준은 간통을 포함하는 부정행위의 구성 요소가 어떻게 되며, 피해자의 정신적 고통을 얼마나 발생시켰는지를 따져야 합니다. 대법원 1988. 5. 24. 판결에 따르면, 부정행위의 구성은 부부의 정조의무에 충실하지 않는 행위로 정의되므로, 구체적인 사안에 따라 평가해야 하며, 이를 통해 손해배상의 필요성을 인정할 수 있습니다.",부정행위 손해배상 청구 법원 기준,1,2,위자료 및 손해배상 청구,0.7069448,2018-07-20T09:00:00.000+09:00,금액·산정,3
위자료 청구 시 구체적 증거가 필요하나요?,,,,1,위자료 및 손해배상 청구,,,금액·산정,3
이혼 후 부모의 친권 양육권 정함에 있어 고려해야 할 요소는 무엇인가요?,"친권 및 양육권 결정 시에는 미성년 자녀의 성별, 연령, 부모의 양육 의사, 양육에 필요한 경제적 능력, 부모와 자녀 간의 친밀도 등 다양한 요소를 종합적으로 고려해야 하며, 이는 자녀의 성장과 복지에 가장 도움이 되는 방향으로 판단되어야 합니다.",이혼 부모 친권 양육 정함 고려 요소,1,0,이혼 시 금전 문제 (재산분할·양육비),0.89914095,2020-07-24T09:00:00.000+09:00,기타,-1
상담 중 화를 내면 문제가 될까요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
이혼 및 위자료 청구 소송에서 피해자가 입증해야 하는 손해의 범위는 어떻게 정해지나요?,"이혼 및 위자료 청구 소송에서 피해자는 자신의 정신적, 신체적 고통에 대한 손해를 입증해야 하며, 이때 손해의 범위는 피해자가 주장하는 손해의 정도와 그 손해의 발생 원인 사이의 인과관계를 기준으로 판단합니다. 손해배상청구에 관한 관련법리에 의하면, 위자료는 피해자가 고통받은 사실의 구체성 및 그 고통의 정도에 따라 정당하게 평가될 수 있습니다.",이혼 위자료 청구 소송 피해자 입증 손해 범위 정해지다,1,2,위자료 및 손해배상 청구,0.7843456,2015-12-17T09:00:00.000+09:00,절차·방법,1
양육비를 강제로 받을 수 있는 제도가 있나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,제재·구제수단,5
부부의 일방이 부정행위를 한 경우 그에 따른 손해배상 책임은 어떤 조건으로 성립하나요?,"부부의 일방이 부정행위를 한 경우, 불법행위 책임은 부부공동생활을 침해하거나 유지방해함으로써 배우자에게 정신적 고통을 가한 경우에 성립합니다. 민법 제826조에 따르면, 부부는 동거하며 서로 부양하고 협조할 의무를 진다. 이때 부부의 일방이 부정행위를 한 경우, 부정행위로 인해 정신적 손해를 입은 배우자는 불법행위에 의한 손해배상 청구를 할 수 있습니다.",부부 일방 부정행위 손해배상 책임 하나요,1,1,부정행위 및 제3자 개입 책임,0.9038903,2023-05-25T09:00:00.000+09:00,가능 여부 판단,0
부정행위 증거로 문자메시지를 제출할 수 있나요?,,,,2,부정행위 및 제3자 개입 책임,,,증거·입증,2
결혼이 유효하려면 어떤 요건을 충족해야 하나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
부정행위로 인정되는 기준은 판례마다 다르나요?,,,,2,부정행위 및 제3자 개입 책임,,,개념·범위·기준,7
제3자가 혼인의 본질에 해당하는 부부공동생활을 침해했을 때 불법행위를 구성하는 조건은 무엇인가요?,"제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고, 그로 인해 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 민법상 불법행위를 구성합니다. 특히 이런 부정행위는 간통뿐만 아니라 부부의 정조의무에 충실하지 않는 모든 행위가 포함됩니다(대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결 등 참조).",혼인 본질 해당 부부 생활 침해 불법행위 구성 제3자가,1,1,부정행위 및 제3자 개입 책임,0.67760426,2020-03-18T09:00:00.000+09:00,법적 근거·조문,6
부부관계에서 부정행위로 인해 손해배상청구를 할 수 있는 법적 근거는 무엇인가요?,"부부관계에서 부정행위로 인해 손해배상청구를 할 수 있는 법적 근거는 민법 제750조 및 관련 판례에 있습니다. 부정행위는 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해한 행위로, 이는 불법행위를 구성합니다. 이에 따라 배신당한 배우자는 부정행위를 한 제3자에게 정신적 고통에 대한 손해배상을 청구할 수 있습니다(대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결).",부부 관계 부정행위 손해배상 청구 법적,1,2,위자료 및 손해배상 청구,0.5372487,2022-05-03T09:00:00.000+09:00,가능 여부 판단,0
혼외 관계로 인한 정신적 손해배상을 청구할 수 있는 경우는 무엇인가요?,"제3자가 부부의 한쪽 배우자와 부정행위를 하여 그 부부공동생활을 침해하거나 그 유지를 방해함으로써 다른 배우자에게 정신적 고통을 가하는 행위는 불법행위를 구성합니다. 이에 따라, 부정행위를 당한 배우자는 정신적 손해배상을 청구할 수 있습니다.",혼외 관계 정신 손해배상 청구,1,2,위자료 및 손해배상 청구,0.618839,2018-10-17T09:00:00.000+09:00,가능 여부 판단,0
이행각서에 명시된 의무를 토대로 재산분할을 청구할 경우 어떤 절차가 필요하나요?,"이행각서에 명시된 재산분할 의무를 토대로 청구할 경우, 우선 당사자 간의 협의이혼의 사실 및 재산분할 약정이 존재함을 입증해야 합니다. 또한 이를 근거로 가사소송법에 따라 재산분할 심판을 청구해야 하며, 법원은 민법 제839조의2 제2항에 따라 당사자들의 협력으로 형성된 재산의 분할을 판단하여 결정합니다.",이행 각서 명시 의무 토대 재산 분할 청구,1,0,이혼 시 금전 문제 (재산분할·양육비),0.8773449,2016-12-13T09:00:00.000+09:00,절차·방법,1
이혼 후 재산 분할청구를 할 수 있는 요건은 무엇인가요?,"이혼 후에 재산 분할청구를 하기 위해서는 민법 제839조에 따라 혼인 중에 형성된 공동재산으로서, 부부의 공동 기여의 정도를 고려하여야 합니다. 특히, 이혼 당시의 재산 상태와 각 배우자의 기여도를 입증해야 하며, 이에 따라 분할 비율을 정할 수 있습니다.",이혼 재산 분할 청구,1,0,이혼 시 금전 문제 (재산분할·양육비),0.84356064,2015-12-03T09:00:00.000+09:00,가능 여부 판단,0
"부부 일방이 부정행위를 저지른 경우, 그 배우자에게 정신적 손해배상을 청구할 수 있는 조건은 무엇인가요?","부부의 일방이 부정행위를 저지른 경우, 상대방 배우자는 그로 인해 입은 정신적 고통에 대해 손해배상을 청구할 수 있습니다. 이는 부부의 일방의 부정행위가 배우자의 권리를 침해하고 정신적 고통을 가하는 불법행위를 구성하기 때문입니다.",부부 일방 부정행위 저지르다 배우자 정신 손해배상 청구,1,2,위자료 및 손해배상 청구,0.55181694,2022-12-23T09:00:00.000+09:00,가능 여부 판단,0
배우자의 부정한 행위가 간통까지 이르지 않은 경우에도 손해배상을 청구할 수 있나요?,"민법 제840조 제1호에 따르면, '배우자의 부정한 행위'는 간통을 포함하는 보다 넓은 개념으로, 간통에 이르지 않더라도 부부의 정조 의무에 충실하지 않은 모든 행위가 포함됩니다. 이러한 부정한 행위로 인해 배우자에게 정신적 충격이나 피해가 발생한 경우, 손해배상을 청구할 수 있습니다.",배우자 부정 행위 간통 이르다 손해배상 청구,1,1,부정행위 및 제3자 개입 책임,0.48998737,2014-12-23T09:00:00.000+09:00,가능 여부 판단,0
이혼 청구에 법적 시효가 있나요?,,,,3,부정행위의 법률적 근거,,,기간·시효,4
배우자가 있는 사람과 부정행위를 한 제3자가 불법행위 책임을 지는 조건은 무엇인가요?,제3자가 부부의 일방과 부정행위를 함으로써 혼인의 본질에 해당하는 부부공동생활을 침해하거나 그 유지를 방해하여 배우자에게 정신적 고통을 가하는 행위는 원칙적으로 불법행위를 구성합니다. 이를 위해서는 제3자가 상대방에게 배우자가 있다는 사실을 알고도 부정행위를 저질렀다는 점을 증명해야 합니다.,배우자 부정행위 불법행위 책임 지다 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9183996,2022-08-18T09:00:00.000+09:00,법적 근거·조문,6
부정행위가 법적으로 인정되기 어려운 경우는 언제인가요?,"부정행위가 법적으로 인정되기 어려운 경우는 부정행위가 있었음을 증명할 만한 충분한 증거가 부족한 경우입니다. 예를 들어, 제3자가 부부의 일방과 부정행위를 하였다는 증거가 갑 제4호증의 기재만으로는 인정되기 부족하다면 법적으로 부정행위로 인정받기 어렵습니다(대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결 등 참조).",부정행위 법적,1,1,부정행위 및 제3자 개입 책임,0.79449713,2018-04-13T00:00:00.000+09:00,가능 여부 판단,0
이혼 사유 발생 후 바로 소송을 해야 하나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,기간·시효,4
이혼 및 재산분할 소송에서 소송대리인이 소속된 로펌의 인장이 없는 위임계약서가 유효한가요?,"민법 제115조에 따르면, 대리에 있어 본인을 위한 것임을 표시하는 이른바 현명은 반드시 명시적으로만 할 필요는 없고 묵시적으로도 할 수 있습니다. 현명을 하지 아니한 경우에도 여러 사정에 비추어 상대방이 대리행위임을 알았거나 알 수 있었을 때에는 소송위임계약은 유효합니다. 따라서 계약서에 로펌의 인장이 없더라도, 여러 사정상 대리인으로서의 행위임을 상대방이 인지할 수 있다면 위임계약은 유효합니다.",이혼 재산 분할 소송 소송대리인 소속 로펌 인장 위임 계약서,1,0,이혼 시 금전 문제 (재산분할·양육비),0.8436844,2019-03-22T09:00:00.000+09:00,기타,-1
